Table_Dialog_Left = {}
local func_index = function(table, key)
	local data = StrTablesManager.GetData("Table_Dialog_Left", key);
	[64] = "{id = 64, Speaker = 0, Text = 'Let me try. I will make some [c][ffff00]Juice[-][/c] for you!', Emoji = 0}",
	[65] = "{id = 65, Speaker = 1043, Text = 'I need [c][ffff00]Apples[-][/c] to make juice, you can find some [c][ffff00]Apples[-][/c] from the [c][ffff00]Porings[-][/c].', Emoji = 0}",
	[66] = "{id = 66, Speaker = 1043, Text = 'Wow... Very fresh. I will make some [c][ffff00]concentrated Apple Juice[-][/c] now! You know, I have once won the title - Monsters’ Favorite 3-star Chef\"!', Emoji = 0}",
	[67] = "{id = 67, Speaker = 0, Text = 'Is there a such title?!', Emoji = 1}",
	[68] = "{id = 68, Speaker = 1043, Text = 'Oh yeah! Done! Once you open the bottle, all the Porings near the South Gate will come to you!', Emoji = 5}",
	[69] = "{id = 69, Speaker = 0, Text = 'An army of Porings? Sounds hard to tackle with...', Emoji = 0}",
	[70] = "{id = 70, Speaker = 1043, Text = 'Go have a try!', Emoji = 0}",
	[71] = "{id = 71, Speaker = 1044, Text = 'Oh... Surely it’s not easy to catch an Angeling. We need to have a plan. Thanks any way!', Emoji = 0}",
	[72] = "{id = 72, Speaker = 0, Text = 'You are welcome, it’s my pleasure. Now I will go back to [c][ffff00]Eden Team[-][/c] to finish my enrollment process...', Emoji = 0}",
	[73] = "{id = 73, Speaker = 1044, Text = 'I see. I have two [c][ffff00]Mounts[-][/c], You can pick one to ride on your way, Hope we didn’t waste too much of your time.', Emoji = 0}",
	[74] = "{id = 74, Speaker = 1044, Text = 'They are over there. One is named [c][ffff00]Dai Dai[-][/c], the other [c][ffff00]Moe Moe[-][/c]. You can pick the one you like.', Option = 'Thanks, bye!', Emoji = 0}",
	[75] = "{id = 75, Speaker = 1050, Text = 'Well, I didn’t see you at all after the enrollment tests, Where have you been?', Emoji = 0}",
	[76] = "{id = 76, Speaker = 0, Text = 'Many things happened...', Emoji = 0}",
	[77] = "{id = 77, Speaker = 1054, Text = 'Haha, it’s OK. Cenia, [c][ffff00][PlayerName][-][/c] seems to have helped lots of people. It’s right Eden Team’s mission to help others and grow happily as an Adventurer!', Emoji = 0}",
	[78] = "{id = 78, Speaker = 1054, Text = '[c][ffff00][PlayerName][-][/c] and Cenia, congrats for [c][ffff00]passing the tests[-][/c], from now on, you are official members of the Eden Team!', Emoji = 0}",
	[79] = "{id = 79, Speaker = 1050, Text = 'Great, now we can go to [c][ffff00]Prontera[-][/c] to [c][ffff00]change jobs[-][/c]!', Emoji = 2}",
	[80] = "{id = 80, Speaker = 1054, Text = 'Cenia is right. [c][ffff00]Selecting a job[-][/c] is the first thing to do after becoming an Adventurer. Please set off. I’ve sent your Reference Letters.', Emoji = 0}",
	[81] = "{id = 81, Speaker = 1050, Text = 'Here comes the great Swordsman [c][ffff00]Ignatius Cenia[-][/c]! A great adventure is about to roll out!', Emoji = 0}",
	[82] = "{id = 82, Speaker = 1054, Text = 'The facilities of Eden Team have all been open to you. We expect your great performance!', Emoji = 0}",
	[92] = "{id = 92, Speaker = 1024, Text = '[%s] is going to be auctioned, you are welcome to join'}",
	[93] = "{id = 93, Speaker = 1024, Text = 'The auction is about to start'}",
	[94] = "{id = 94, Speaker = 1024, Text = 'The auction is over'}",
	[95] = "{id = 95, Speaker = 1024, Text = 'Your bid is surpassed'}",
	[96] = "{id = 96, Speaker = 1019, Text = '%s Base has been captured by %s!'}",
	[97] = "{id = 97, Speaker = 1019, Text = 'The Guild Battle is over! Well done, Braves!'}",
	[100] = "{id = 100, Speaker = 1050, Text = 'Ooh, is this your first time in the capital? It’s extravagant! [c][ffff00][PlayerName][-][/c], would you like to know the story of [c][ffff00]Prontera[-][/c]?', Emoji = 2}",
	[101] = "{id = 101, Speaker = 1050, Text = 'During the War of the Gods, [c][ffff00]Prontera[-][/c] was the last territory of Odin, and it became the most ancient, Most prosperous city in the land. Now it is the center of civilization on the continent.', Emoji = 1}",
	[102] = "{id = 102, Speaker = 1050, Text = '1, 000 years have passed since the war, and [c][ffff00]Geffen[-][/c] and [c][ffff00]Payon[-][/c] haven’t been completely rebuilt, While [c][ffff00]Morroc[-][/c] is still a barren desert because of the Demon’s curse. It really is amazing that [c][ffff00]Prontera[-][/c] could be like it is today!', Emoji = 2}",
	[103] = "{id = 103, Speaker = 1050, Text = '1, 000 years have passed since the war, and [c][ffff00]Geffen[-][/c] and [c][ffff00]Payon[-][/c] haven’t been completely rebuilt, While [c][ffff00]Morroc[-][/c] is still a barren desert because of the Demon’s curse. It really is amazing that [c][ffff00]Prontera[-][/c] could be like it is today!', Emoji = 2}",
	[104] = "{id = 104, Speaker = 1050, Text = 'Well, You’ve had some time, Do you know what kind of job you’d like? I’m going to look around. Let’s meet at the [c][ffff00]Job Hall[-][/c] in a little bit.', Emoji = 0}",
	[153] = "{id = 153, Speaker = 1024, Text = 'A letter of recommendation from [c][ffff00]Midorna[-][/c]. Are you here to [c][ffff00]choose[-][/c] your future [c][ffff00]job[-][/c]? It is customary to first introduce you to the jobs.', Option = 'I’d love to know!', Emoji = 0}",
	[154] = "{id = 154, Speaker = 1024, Text = 'The jobs are: [c][ffff00]Swordsman[-][/c], [c][ffff00]Mage[-][/c], [c][ffff00]Acolyte[-][/c], [c][ffff00]Thief[-][/c], and [c][ffff00]Archer[-][/c]. The [c][ffff00]Swordsman[-][/c] is brave and fearless, and adept at [c][ffff00]melee combat[-][/c]. The Swordsman can endure many attacks, and is a great choice for a vanguard.', Emoji = 0}",
	[155] = "{id = 155, Speaker = 1024, Text = 'The [c][ffff00]Mage[-][/c] is adept at controlling [c][ffff00]elemental power[-][/c], and can greatly damage enemies.', Emoji = 0}",
	[156] = "{id = 156, Speaker = 1024, Text = 'The [c][ffff00]Acolyte[-][/c] is a divine emissary, who focuses on [c][ffff00]healing[-][/c] and [c][ffff00]boosting [-][/c]the Party in battle, so the Party can fight longer.', Emoji = 0}",
	[157] = "{id = 157, Speaker = 1024, Text = 'The [c][ffff00]Ranger[-][/c] is a natural hunter, adept at [c][ffff00]ranged attacks[-][/c], and can threaten enemies from a distance.', Emoji = 0}",
	[158] = "{id = 158, Speaker = 1024, Text = 'You must pass the [c][ffff00]Trials[-][/c] before you can get the job you want.', Emoji = 0}",
	[159] = "{id = 159, Speaker = 1024, Text = 'After you pass the Trials, go find your [c][ffff00]job mentor[-][/c]. They will take you to begin your career. If you want to change your mind, You can find [c][ffff00]other job mentors[-][/c] to choose a job.', Option = 'OK!', Emoji = 0}",
	[160] = "{id = 160, Speaker = 1024, Text = 'Have you prepared for the [c][ffff00]job change Trials[-][/c]?', Option = 'I’m ready!', Emoji = 0}",
	[161] = "{id = 161, Speaker = 1024, Text = 'Now I will open the [c][ffff00]Door to the Trials[-][/c]!', Emoji = 0}",
	[162] = "{id = 162, Speaker = 1101, Text = 'Hey, Rookie! Do you want to become a [c][ffff00]Swordsman[-][/c]?', Emoji = 0}",
	[163] = "{id = 163, Speaker = 1101, Text = 'A [c][ffff00]Swordsman[-][/c] must have [c][ffff00]strong vitality[-][/c], and [c][ffff00]brave and fearless[-][/c] convictions. Are you ready? ', Option = 'Become a [c][ffff00]Swordsman[-][/c]!', Emoji = 0}",
	[164] = "{id = 164, Speaker = 1024, Text = 'Now that you’ve picked your job, You’re looking much stronger. You should be able to help now. Go find the [c][ffff00]Leader of Royal Guards[-][/c] at the entrance. He has been recruiting people.', Emoji = 0}",
	[165] = "{id = 165, Speaker = 1011, Text = 'Are you here to help? Some magic ripples have been coming from the [c][ffff00]Sewers[-][/c], but we don’t have nearly enough people right now...', Emoji = 0}",
	[166] = "{id = 166, Speaker = 1011, Text = 'But you’re here, just in time to help!', Emoji = 0}",
	[167] = "{id = 167, Speaker = 1011, Text = 'Go to the [c][ffff00]Sewer[-][/c] and eliminate [c][ffff00]3 Tarou[-][/c]. It will help take care of the infestation.', Emoji = 0}",
	[168] = "{id = 168, Speaker = 1011, Text = '(I didn’t say anything... but it look like it has been decided...)', Emoji = 0}",
	[169] = "{id = 169, Speaker = 1011, Text = 'Good job! Here’s your reward!', Emoji = 0}",
	[170] = "{id = 170, Speaker = 1011, Text = 'There are far too many [c][ffff00]Thief Bugs[-][/c] in the [c][ffff00]Sewer[-][/c]!', Emoji = 0}",
	[171] = "{id = 171, Speaker = 1011, Text = 'Every time I go down there, I get goosebumps all over! Can you go take care of them?', Emoji = 0}",
	[172] = "{id = 172, Speaker = 1011, Text = 'Don’t worry, You’ll be greatly rewards.', Emoji = 0}",
	[173] = "{id = 173, Speaker = 1011, Text = 'You did a great job! The [c][ffff00]Thief Bugs[-][/c] have diminished, so I can go into the Sewer safely now.', Emoji = 0}",
	[174] = "{id = 174, Speaker = 1011, Text = 'This is your reward, as promised. You’re welcome.', Emoji = 0}",
	[175] = "{id = 175, Speaker = 1011, Text = 'Newcomer, There’s another thing I need your help with.', Emoji = 0}",
	[176] = "{id = 176, Speaker = 1011, Text = 'I have detected a weak magic wave coming from the [c][ffff00]North Sewer[-][/c] area. Some monster must be haunting the place. Go take care of it, please.', Emoji = 0}",
	[177] = "{id = 177, Speaker = 0, Text = 'I’m on my way!', Emoji = 0}",
	[178] = "{id = 178, Speaker = 1011, Text = 'That was fast! You’re tougher than you look!', Emoji = 0}",
	[179] = "{id = 179, Speaker = 1011, Text = '[c][ffff00]North Sewer[-][/c] will forever be open to you. You can go train there when you have time!', Emoji = 0}",
	[180] = "{id = 180, Speaker = 1011, Text = 'There’s also these rewards, too!', Emoji = 0}",
	[181] = "{id = 181, Speaker = 1011, Text = 'Did you see a monster called [c][ffff00]Spore[-][/c] when you were in the Sewer before?', Emoji = 0}",
	[182] = "{id = 182, Speaker = 1011, Text = 'Those nerds in the research lab want to learn about the life source of that monster. ', Emoji = 0}",
	[183] = "{id = 183, Speaker = 1011, Text = 'Can you go collect some [c][ffff00]spores[-][/c] from the [c][ffff00]Spore[-][/c] monsters?', Emoji = 0}",
	[184] = "{id = 184, Speaker = 1011, Text = 'Hm? Do you have them?', Emoji = 0}",
	[185] = "{id = 185, Speaker = 1011, Text = 'Not bad, that’s just what they need.', Emoji = 0}",
	[186] = "{id = 186, Speaker = 1011, Text = 'Here is your reward.', Emoji = 0}",
	[187] = "{id = 187, Speaker = 1011, Text = 'A report from the Knights states that the magic waves in the [c][ffff00]Sewer[-][/c] have been weakened.', Emoji = 0}",
	[188] = "{id = 188, Speaker = 1011, Text = 'So it is best if you go now, adventurer. ', Emoji = 0}",
	[189] = "{id = 189, Speaker = 0, Text = 'Alright, I’ll go now.', Emoji = 0}",
	[190] = "{id = 190, Speaker = 1011, Text = 'Good job, Young adventurer!', Emoji = 0}",
	[191] = "{id = 191, Speaker = 1011, Text = 'The magic waves in the Sewer should be gone for now. Thank you.', Emoji = 0}",
	[192] = "{id = 192, Speaker = 1011, Text = '[c][ffff00]Ms. Kafra[-][/c] near [c][ffff00]West Gate[-][/c] is looking for you. You should go see what she wants.', Emoji = 0}",
	[193] = "{id = 193, Speaker = 1015, Text = 'Finally! You’re just in time, I don’t know what to do.', Emoji = 0}",
	[194] = "{id = 194, Speaker = 1015, Text = 'The [c][ffff00]Yoyos[-][/c] outside of [c][ffff00]West Gate[-][/c] are so annoying! They throw stones at passerby and steal things.', Emoji = 0}",
	[195] = "{id = 195, Speaker = 1015, Text = 'The guards used to be able to scare them off, but they aren’t even afraid of the guards anymore. Adventurer, Can you go teach them a lesson?', Emoji = 0}",
	[196] = "{id = 196, Speaker = 0, Text = 'I’ll take care of it!', Emoji = 0}",
	[197] = "{id = 197, Speaker = 1015, Text = 'Great! Those Yoyos should behave now.', Emoji = 0}",
	[198] = "{id = 198, Speaker = 1015, Text = 'Thank you, You really helped me. ', Emoji = 0}",
	[199] = "{id = 199, Speaker = 1015, Text = 'My most recent task was to procure food for the Knight Squad. I want to get them better food, and buy some [c][ffff00]Savage meat[-][/c], but...', Emoji = 0}",
	[200] = "{id = 200, Speaker = 1015, Text = 'They didn’t give me enough money to buy [c][ffff00]Savage meat[-][/c]. And Savages are so dangerous. I really want to improve the Knights’ food...', Option = 'Do you need help?', Emoji = 0}",
	[201] = "{id = 201, Speaker = 1015, Text = 'That’s great! [c][ffff00]Savages[-][/c] can be found just outside of West Gate. [c][ffff00]5 pieces of Savage meat[-][/c] should be enough.', Emoji = 0}",
	[202] = "{id = 202, Speaker = 1015, Text = 'Wow, You really brought back all that [c][ffff00]Savage meat[-][/c]! We’ll eat well tonight!', Emoji = 2}",
	[203] = "{id = 203, Speaker = 1015, Text = 'I’ll give you the money for buying the meat as a reward. Oh right, the [c][ffff00]Leader of Royal Guards[-][/c] at the Training Grounds is looking for you. They need your help.', Emoji = 0}",
	[204] = "{id = 204, Speaker = 1011, Text = 'Adventurer, we have discovered the reason for the magic waves before. In the [c][ffff00]Sewer Depths[-][/c] is an unsettling creature. It seems we will need you to take another look.', Emoji = 0}",
	[205] = "{id = 205, Speaker = 1015, Text = 'Since that’s the case, it seems the magic waves in the Sewer weren’t so simple after all.', Emoji = 0}",
	[206] = "{id = 206, Speaker = 1015, Text = 'Are you ready? This time you’re heading to the [c][ffff00]Tunnel in the Sewer Depths[-][/c]. I have a feeling the magic waves are getting closer and closer to us.', Emoji = 0}",
	[207] = "{id = 207, Speaker = 1015, Text = 'That’s right, we should be nearly there.', Emoji = 0}",
	[208] = "{id = 208, Speaker = 1015, Text = 'Adventurer, Your next stop is the [c][ffff00]Dampest Basement in the Sewer[-][/c]. I hope you can find the source of the magic waves there.', Emoji = 0}",
	[209] = "{id = 209, Speaker = 1015, Text = 'It wasn’t there? Drat. Oh well, thank you for your help.', Emoji = 6}",
	[210] = "{id = 210, Speaker = 1015, Text = 'I just received news that we’ve found the source of the magic waves, but you must go beyond the[c][ffff00]Thief Bug territory.[-][/c] Go take care of it, adventurer.', Emoji = 0}",
	[211] = "{id = 211, Speaker = 1015, Text = 'That’s great! Now we can continue onward!', Emoji = 0}",
	[212] = "{id = 212, Speaker = 1015, Text = 'We’ve confirmed the source of the magic waves to be coming from the body of a [c][ffff00]monster[-][/c] in the [c][ffff00]Sewer Depths[-][/c]. Be careful, adventurer. If it’s too much, run away. Your life is more important.', Emoji = 0}",
	[213] = "{id = 213, Speaker = 1015, Text = 'You did it?! You actually defeated the [c][ffff00]Golden Thief Bug[-][/c]?! Amazing! You’re our hero!', Emoji = 6}",
	[310] = "{id = 310, Speaker = 0, Text = 'It seems to be an [c][ffff00]Ancient Stele[-][/c], which can take you to a mysterious place.'}",
	[430] = "{id = 430, Speaker = 1401, Text = 'Thank you, adventurer! '}",
	[779] = "{id = 779, Speaker = 1226, Text = 'Come back once you’ve collected [c][ffff00]3 Sticky Mucus[-][/c], [c][ffff00]3 Plant Stalks[-][/c], and [c][ffff00]3 Menblatt Wings[-][/c].'}",
	[927] = "{id = 927, Speaker = 2122, Text = 'Yo! You’re a good-looking newcomer! Everyone who becomes Hunters comes here to get their falcons. This one is yours. Take good care of it.'}",
	[951] = "{id = 951, Speaker = 1106, Text = 'Oh, You! That’s right, You’re the one! I can see it in your eyes, You would make a good Merchant! Hold on, What’s your name again?', Option = 'Tell him your name.', Emoji = 8}",
	[952] = "{id = 952, Speaker = 1106, Text = 'Aha, it’s [c][ffff00][PlayerName][-][/c]. Good, good. I think you’re going to make it rich in the future!', Option = 'Hahaha...', Emoji = 2}",
	[958] = "{id = 958, Speaker = 1106, Text = 'Congratulations, [c][ffff00][PlayerName][-][/c]! The Merchants welcome you!'}",
	[963] = "{id = 963, Speaker = 1106, Text = 'This craftsman is focused on his work. He doesn’t seem to notice you.'}",
	[964] = "{id = 964, Speaker = 2121, Text = 'You can do it, Newbie!'}",
	[965] = "{id = 965, Speaker = 2118, Text = 'It seems we have a newcomer.'}",
	[966] = "{id = 966, Speaker = 2115, Text = 'Oh no, not more competition!'}",
	[967] = "{id = 967, Speaker = 2112, Text = 'Tell me if I do anything wrong!'}",
	[968] = "{id = 968, Speaker = 2110, Text = 'Congratulations!'}",
	[969] = "{id = 969, Speaker = 2111, Text = 'Good job!'}",
	[970] = "{id = 970, Speaker = 1106, Text = 'Yo.'}",
	[1007] = "{id = 1007, Speaker = 1016, Text = 'Special Emergency! A caravan spotted [c][ffff00]Baphomet[-][/c] around [c][ffff00]Prontera[-][/c]! We’ve sent an investigator, but her falcon returned to the Hunters Guild alone. Her whereabouts are unclear.', Emoji = 0}",
	[1008] = "{id = 1008, Speaker = 0, Text = 'Where was he spotted?', Emoji = 0}",
	[1009] = "{id = 1009, Speaker = 1016, Text = 'On the [c][ffff00]way to Izlude[-][/c], the caravan is still there. And all the roads are now blocked.', Emoji = 0}",
	[1010] = "{id = 1010, Speaker = 0, Text = 'I’ll go take care of him!', Emoji = 0}",
	[1011] = "{id = 1011, Speaker = 0, Text = 'Baphomet is too strong!', Emoji = 0}",
	[1012] = "{id = 1012, Speaker = 1016, Text = 'Do you want to change colors? If so, You should use a [c][ffff00]Coloring Agent[-][/c], which you can find in your mailbox!', Emoji = 0}",
	[1013] = "{id = 1013, Speaker = 1025, Text = 'You have mail! Please check it!', Emoji = 2}",
	[1014] = "{id = 1014, Speaker = 1016, Text = 'This is a [c][ffff00]Dead Branch[-][/c] which has magic that attracts all sorts of monsters. Do you dare use it? You can get it from your mailbox.', Emoji = 0}",
	[1015] = "{id = 1015, Speaker = 0, Text = 'You feel power surge into your body, as if you can learn combat skills.', Emoji = 1}",
	[1016] = "{id = 1016, Speaker = 0, Text = 'You can see the skills you can learn now by going to [c][ffff00]Character > Skills[-][/c].', Emoji = 0}",
	[1017] = "{id = 1017, Speaker = 0, Text = '[c][ffff00]Drag an active skill icon onto the Hotkey Bar[-][/c] to be able to use it quickly in battle. Try it out!', Emoji = 0}",
	[1100] = "{id = 1100, Speaker = 1015, Text = 'You must eliminate the Magic Flower Mandragora in order to complete hidden quests.', Emoji = 0}",
	[1101] = "{id = 1101, Speaker = 1015, Text = 'Well done!', Emoji = 0}",
	[1201] = "{id = 1201, Speaker = 1024, Text = 'Yo, [c][ffff00][PlayerName][-][/c]. I met you last time, didn’t I? You’ve done well in your training. We need talented people like you... Go to your job mentor to take the second job change Trial.'}",
	[1202] = "{id = 1202, Speaker = 1101, Text = 'Monsters have been wantonly running amok lately, and there’s many more matters to attend to. Let’s start the Knight Trial right away!'}",
	[1203] = "{id = 1203, Speaker = 1101, Text = 'Your Trial is: Collect [c][ffff00]5 Yoyo Tails, 5 Long Antennas, and 5 Short Dorsal Fins[-][/c]! Will that be too difficult? This sort of thing should be easy to find for you!'}",
	[1204] = "{id = 1204, Speaker = 1101, Text = 'I’ll give you some advice. The Yoyos in the West Gate area drop [c][ffff00]Yoyo tails[-][/c], the Hydra in the Sunken Ship area drop [c][ffff00]Long Antennas[-][/c], and the Marc in the Underwater Cave area drop [c][ffff00]Short Dorsal Fins[-][/c]... Be careful, and come back to me when you’ve found everything!'}",
	[1205] = "{id = 1205, Speaker = 1101, Text = 'Wow, You’ve got everything. Good job! Congratulations on completing this Trial! Now it’s time for you to officially change your job!'}",
	[1206] = "{id = 1206, Speaker = 1101, Text = '[c][ffff00][PlayerName][-][/c], you must possess all the traits of a Knight: loyalty, honor, martial prowess, etiquette, piety, and humility!'}",
	[1207] = "{id = 1207, Speaker = 1101, Text = 'After you’ve changed jobs from a Swordsman to a Knight, your atk power, atk range, and atk changes will all grow stronger quite impressively! '}",
